,Region,Year,Indicator,continent,UNregion,name_official,Normalized
130,CHE,2017,EJ Index,Europe,Western Europe,Swiss Confederation,0.8664247709296673
131,CHE,2022,EJ Index,Europe,Western Europe,Swiss Confederation,0.8660630703718348
132,CHL,2007,EJ Index,America,South America,Republic of Chile,0.6794858566354214
133,CHL,2012,EJ Index,America,South America,Republic of Chile,0.6779138684186159
134,CHL,2017,EJ Index,America,South America,Republic of Chile,0.6745496804583831
135,CHL,2022,EJ Index,America,South America,Republic of Chile,0.6773803702311305
136,CHN,2007,EJ Index,Asia,Eastern Asia,People's Republic of China,0.6147072950274013
137,CHN,2012,EJ Index,Asia,Eastern Asia,People's Republic of China,0.6019486789335353
138,CHN,2017,EJ Index,Asia,Eastern Asia,People's Republic of China,0.593961087211397
139,CHN,2022,EJ Index,Asia,Eastern Asia,People's Republic of China,0.6205268378708105
140,CIV,2007,EJ Index,Africa,Western Africa,Republic of Côte d'Ivoire,0.5997251108151733
141,CIV,2012,EJ Index,Africa,Western Africa,Republic of Côte d'Ivoire,0.5901163559772585
142,CIV,2017,EJ Index,Africa,Western Africa,Republic of Côte d'Ivoire,0.5853191281332772
143,CIV,2022,EJ Index,Africa,Western Africa,Republic of Côte d'Ivoire,0.6117536009692135
144,CMR,2007,EJ Index,Africa,Middle Africa,Republic of Cameroon,0.5836467529737493
145,CMR,2012,EJ Index,Africa,Middle Africa,Republic of Cameroon,0.5826426541841527
146,CMR,2017,EJ Index,Africa,Middle Africa,Republic of Cameroon,0.5884189912864668
147,CMR,2022,EJ Index,Africa,Middle Africa,Republic of Cameroon,0.6092804778621863
148,COD,2007,EJ Index,Africa,Middle Africa,Democratic Republic of the Congo,0.5274619491897683
149,COD,2012,EJ Index,Africa,Middle Africa,Democratic Republic of the Congo,0.5241014540225061
150,COD,2017,EJ Index,Africa,Middle Africa,Democratic Republic of the Congo,0.5288911688922117
151,COD,2022,EJ Index,Africa,Middle Africa,Democratic Republic of the Congo,0.5495707419610496
152,COG,2007,EJ Index,Africa,Middle Africa,Republic of the Congo,0.5808529176131492
153,COG,2012,EJ Index,Africa,Middle Africa,Republic of the Congo,0.5923277555904103
154,COG,2017,EJ Index,Africa,Middle Africa,Republic of the Congo,0.6019697517691475
155,COG,2022,EJ Index,Africa,Middle Africa,Republic of the Congo,0.626014023637149
156,COL,2007,EJ Index,America,South America,Republic of Colombia,0.6270351509765245
157,COL,2012,EJ Index,America,South America,Republic of Colombia,0.6274735788114475
158,COL,2017,EJ Index,America,South America,Republic of Colombia,0.6462948540628398
159,COL,2022,EJ Index,America,South America,Republic of Colombia,0.6478590588195996
160,COM,2007,EJ Index,Africa,Eastern Africa,Union of the Comoros,0.5620540816535062
161,COM,2012,EJ Index,Africa,Eastern Africa,Union of the Comoros,0.557011095310619
162,COM,2017,EJ Index,Africa,Eastern Africa,Union of the Comoros,0.5480357297953278
163,COM,2022,EJ Index,Africa,Eastern Africa,Union of the Comoros,0.5518351835356528
164,CPV,2007,EJ Index,Africa,Western Africa,Republic of Cabo Verde,0.619323709393161
165,CPV,2012,EJ Index,Africa,Western Africa,Republic of Cabo Verde,0.6186455146671608
166,CPV,2017,EJ Index,Africa,Western Africa,Republic of Cabo Verde,0.6199703434278405
167,CPV,2022,EJ Index,Africa,Western Africa,Republic of Cabo Verde,0.6107211135733261
168,CRI,2007,EJ Index,America,Central America,Republic of Costa Rica,0.6599519592841914
169,CRI,2012,EJ Index,America,Central America,Republic of Costa Rica,0.6909303261827017
170,CRI,2017,EJ Index,America,Central America,Republic of Costa Rica,0.7197305596537465
171,CRI,2022,EJ Index,America,Central America,Republic of Costa Rica,0.7239845698081411
172,CUB,2007,EJ Index,America,Caribbean,Republic of Cuba,0.6788618620363303
173,CUB,2012,EJ Index,America,Caribbean,Republic of Cuba,0.6884864660617159
174,CUB,2017,EJ Index,America,Caribbean,Republic of Cuba,0.6957800635579582
175,CUB,2022,EJ Index,America,Caribbean,Republic of Cuba,0.6958574142736693
176,CUW,2007,EJ Index,America,Caribbean,Country of Curaçao,0.6801930332267514
177,CUW,2012,EJ Index,America,Caribbean,Country of Curaçao,0.6835556699843753
178,CUW,2017,EJ Index,America,Caribbean,Country of Curaçao,0.6853752877204413
179,CUW,2022,EJ Index,America,Caribbean,Country of Curaçao,0.6825047338417131
180,CYM,2007,EJ Index,America,Caribbean,Cayman Islands,0.7107818040640492
181,CYM,2012,EJ Index,America,Caribbean,Cayman Islands,0.7496841721633876
182,CYM,2017,EJ Index,America,Caribbean,Cayman Islands,0.7325292679379564
183,CYM,2022,EJ Index,America,Caribbean,Cayman Islands,0.7310651037564208
184,CYP,2007,EJ Index,Asia,Western Asia,Republic of Cyprus,0.8310298160915495
185,CYP,2012,EJ Index,Asia,Western Asia,Republic of Cyprus,0.8340833905718545
186,CYP,2017,EJ Index,Asia,Western Asia,Republic of Cyprus,0.8366940477811308
187,CYP,2022,EJ Index,Asia,Western Asia,Republic of Cyprus,0.8384384607790138
188,CZE,2007,EJ Index,Europe,Eastern Europe,Czech Republic,0.8398909862684556
189,CZE,2012,EJ Index,Europe,Eastern Europe,Czech Republic,0.8440773377890974
190,CZE,2017,EJ Index,Europe,Eastern Europe,Czech Republic,0.8418236598480506
191,CZE,2022,EJ Index,Europe,Eastern Europe,Czech Republic,0.8548468758169441
192,DEU,2007,EJ Index,Europe,Western Europe,Federal Republic of Germany,0.8711708635344132
193,DEU,2012,EJ Index,Europe,Western Europe,Federal Republic of Germany,0.8810148645841163
194,DEU,2017,EJ Index,Europe,Western Europe,Federal Republic of Germany,0.8798902907758681
195,DEU,2022,EJ Index,Europe,Western Europe,Federal Republic of Germany,0.8732032932926193
196,DJI,2007,EJ Index,Africa,Eastern Africa,Republic of Djibouti,0.5036386585083086
197,DJI,2012,EJ Index,Africa,Eastern Africa,Republic of Djibouti,0.5077772782141508
198,DJI,2017,EJ Index,Africa,Eastern Africa,Republic of Djibouti,0.5116058423732286
199,DJI,2022,EJ Index,Africa,Eastern Africa,Republic of Djibouti,0.5165271232210172
200,DMA,2007,EJ Index,America,Caribbean,Commonwealth of Dominica,0.6884400886057485
201,DMA,2012,EJ Index,America,Caribbean,Commonwealth of Dominica,0.6870887460492603
202,DMA,2017,EJ Index,America,Caribbean,Commonwealth of Dominica,0.6878019192206372
203,DMA,2022,EJ Index,America,Caribbean,Commonwealth of Dominica,0.6840695314991653
204,DNK,2007,EJ Index,Europe,Northern Europe,Kingdom of Denmark,0.8292396515280822
205,DNK,2012,EJ Index,Europe,Northern Europe,Kingdom of Denmark,0.8366897499552844
206,DNK,2017,EJ Index,Europe,Northern Europe,Kingdom of Denmark,0.8358199377467325
207,DNK,2022,EJ Index,Europe,Northern Europe,Kingdom of Denmark,0.8400282131781661
208,DOM,2007,EJ Index,America,Caribbean,Dominican Republic,0.6841040064537629
209,DOM,2012,EJ Index,America,Caribbean,Dominican Republic,0.6864241534545995
210,DOM,2017,EJ Index,America,Caribbean,Dominican Republic,0.6689440309681648
211,DOM,2022,EJ Index,America,Caribbean,Dominican Republic,0.6623466295029201
212,DZA,2007,EJ Index,Africa,Northern Africa,People's Democratic Republic of Algeria,0.6169783232490256
213,DZA,2012,EJ Index,Africa,Northern Africa,People's Democratic Republic of Algeria,0.6186325079243606
214,DZA,2017,EJ Index,Africa,Northern Africa,People's Democratic Republic of Algeria,0.625976079172192
215,DZA,2022,EJ Index,Africa,Northern Africa,People's Democratic Republic of Algeria,0.5669804149516053
216,ECU,2007,EJ Index,America,South America,Republic of Ecuador,0.6529355444467235
217,ECU,2012,EJ Index,America,South America,Republic of Ecuador,0.6579248275156655
218,ECU,2017,EJ Index,America,South America,Republic of Ecuador,0.660911887275314
219,ECU,2022,EJ Index,America,South America,Republic of Ecuador,0.6589229854855021
220,EGY,2007,EJ Index,Africa,Northern Africa,Arab Republic of Egypt,0.6403631126043532
221,EGY,2012,EJ Index,Africa,Northern Africa,Arab Republic of Egypt,0.6439410052677048
222,EGY,2017,EJ Index,Africa,Northern Africa,Arab Republic of Egypt,0.6407900271405038
223,EGY,2022,EJ Index,Africa,Northern Africa,Arab Republic of Egypt,0.6324547817850812
224,ERI,2007,EJ Index,Africa,Eastern Africa,State of Eritrea,0.4948171848985169
225,ERI,2012,EJ Index,Africa,Eastern Africa,State of Eritrea,0.5006834557809723
226,ERI,2017,EJ Index,Africa,Eastern Africa,State of Eritrea,0.4993672936949207
227,ERI,2022,EJ Index,Africa,Eastern Africa,State of Eritrea,0.5138060866709124
228,ESP,2007,EJ Index,Europe,Southern Europe,Kingdom of Spain,0.7488748467932801
229,ESP,2012,EJ Index,Europe,Southern Europe,Kingdom of Spain,0.7667260072244769
230,ESP,2017,EJ Index,Europe,Southern Europe,Kingdom of Spain,0.7403124947082105
231,ESP,2022,EJ Index,Europe,Southern Europe,Kingdom of Spain,0.7398158309349205
232,EST,2007,EJ Index,Europe,Northern Europe,Republic of Estonia,0.8118306494433387
233,EST,2012,EJ Index,Europe,Northern Europe,Republic of Estonia,0.8223301999170628
234,EST,2017,EJ Index,Europe,Northern Europe,Republic of Estonia,0.8257387696018695
235,EST,2022,EJ Index,Europe,Northern Europe,Republic of Estonia,0.8451078798439566
236,ETH,2007,EJ Index,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia,0.5188638693858827
237,ETH,2012,EJ Index,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia,0.5171811541116449
238,ETH,2017,EJ Index,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia,0.5170250321080047
239,ETH,2022,EJ Index,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia,0.5207683911826314
240,FIN,2007,EJ Index,Europe,Northern Europe,Republic of Finland,0.8749872539407613
241,FIN,2012,EJ Index,Europe,Northern Europe,Republic of Finland,0.8800558368785482
242,FIN,2017,EJ Index,Europe,Northern Europe,Republic of Finland,0.8819425742773923
243,FIN,2022,EJ Index,Europe,Northern Europe,Republic of Finland,0.8769681026743303
244,FJI,2007,EJ Index,Oceania,Melanesia,Republic of Fiji,0.5996177553431163
245,FJI,2012,EJ Index,Oceania,Melanesia,Republic of Fiji,0.5995881692291023
246,FJI,2017,EJ Index,Oceania,Melanesia,Republic of Fiji,0.6180977294965134
247,FJI,2022,EJ Index,Oceania,Melanesia,Republic of Fiji,0.6258135716468846
248,FRA,2007,EJ Index,Europe,Western Europe,French Republic,0.7782399231153488
249,FRA,2012,EJ Index,Europe,Western Europe,French Republic,0.7871610688458309
250,FRA,2017,EJ Index,Europe,Western Europe,French Republic,0.7957135144000692
251,FRA,2022,EJ Index,Europe,Western Europe,French Republic,0.7923756202662723
252,FRO,2007,EJ Index,Europe,Northern Europe,Faroe Islands,0.6950697670042523
253,FRO,2012,EJ Index,Europe,Northern Europe,Faroe Islands,0.6962679218231926
254,FRO,2017,EJ Index,Europe,Northern Europe,Faroe Islands,0.6960685167964806
255,FRO,2022,EJ Index,Europe,Northern Europe,Faroe Islands,0.7045917363364409
256,FSM,2007,EJ Index,Oceania,Micronesia,Federated States of Micronesia,0.5324178385620169
257,FSM,2012,EJ Index,Oceania,Micronesia,Federated States of Micronesia,0.5320059128091833
258,FSM,2017,EJ Index,Oceania,Micronesia,Federated States of Micronesia,0.5363934123236364
259,FSM,2022,EJ Index,Oceania,Micronesia,Federated States of Micronesia,0.5330211938444739
260,GAB,2007,EJ Index,Africa,Middle Africa,Gabonese Republic,0.6444990821749023
261,GAB,2012,EJ Index,Africa,Middle Africa,Gabonese Republic,0.6572228969470215
262,GAB,2017,EJ Index,Africa,Middle Africa,Gabonese Republic,0.6658013398474595
263,GAB,2022,EJ Index,Africa,Middle Africa,Gabonese Republic,0.6821350537077664
264,GBR,2007,EJ Index,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.8340093784502156
265,GBR,2012,EJ Index,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.8440895880288422
266,GBR,2017,EJ Index,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.8500858974069495
267,GBR,2022,EJ Index,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.851646272170819
268,GEO,2007,EJ Index,Asia,Western Asia,Georgia,0.7074015633322087
269,GEO,2012,EJ Index,Asia,Western Asia,Georgia,0.7111891409354743
270,GEO,2017,EJ Index,Asia,Western Asia,Georgia,0.7119086885264891
271,GEO,2022,EJ Index,Asia,Western Asia,Georgia,0.6897586562706197
272,GHA,2007,EJ Index,Africa,Western Africa,Republic of Ghana,0.556723647906721
273,GHA,2012,EJ Index,Africa,Western Africa,Republic of Ghana,0.5632801401383436
274,GHA,2017,EJ Index,Africa,Western Africa,Republic of Ghana,0.5621176657215954
275,GHA,2022,EJ Index,Africa,Western Africa,Republic of Ghana,0.5816901562002585
276,GIB,2007,EJ Index,Europe,Southern Europe,Gibraltar,0.6679521831170071
277,GIB,2012,EJ Index,Europe,Southern Europe,Gibraltar,0.668101818244363
278,GIB,2017,EJ Index,Europe,Southern Europe,Gibraltar,0.667147729467148
279,GIB,2022,EJ Index,Europe,Southern Europe,Gibraltar,0.6708678615009475
280,GIN,2007,EJ Index,Africa,Western Africa,Republic of Guinea,0.5201136466942141
281,GIN,2012,EJ Index,Africa,Western Africa,Republic of Guinea,0.5203814197761272
282,GIN,2017,EJ Index,Africa,Western Africa,Republic of Guinea,0.5159446221719175
283,GIN,2022,EJ Index,Africa,Western Africa,Republic of Guinea,0.5288689024346154
284,GMB,2007,EJ Index,Africa,Western Africa,Republic of the Gambia,0.5148111989759969
285,GMB,2012,EJ Index,Africa,Western Africa,Republic of the Gambia,0.5321441409508696
286,GMB,2017,EJ Index,Africa,Western Africa,Republic of the Gambia,0.5441105265041414
287,GMB,2022,EJ Index,Africa,Western Africa,Republic of the Gambia,0.5502961389505481
288,GNB,2007,EJ Index,Africa,Western Africa,Republic of Guinea-Bissau,0.4969215289279235
289,GNB,2012,EJ Index,Africa,Western Africa,Republic of Guinea-Bissau,0.4966715148349607
290,GNB,2017,EJ Index,Africa,Western Africa,Republic of Guinea-Bissau,0.4969430909164196
291,GNB,2022,EJ Index,Africa,Western Africa,Republic of Guinea-Bissau,0.5208494154450384
292,GNQ,2007,EJ Index,Africa,Middle Africa,Republic of Equatorial Guinea,0.5609412553615624
293,GNQ,2012,EJ Index,Africa,Middle Africa,Republic of Equatorial Guinea,0.5676505383790823
294,GNQ,2017,EJ Index,Africa,Middle Africa,Republic of Equatorial Guinea,0.571634130387137
295,GNQ,2022,EJ Index,Africa,Middle Africa,Republic of Equatorial Guinea,0.5798493467051137
296,GRC,2007,EJ Index,Europe,Southern Europe,Hellenic Republic,0.755133965561553
297,GRC,2012,EJ Index,Europe,Southern Europe,Hellenic Republic,0.7597847893689059
298,GRC,2017,EJ Index,Europe,Southern Europe,Hellenic Republic,0.7544523407363615
299,GRC,2022,EJ Index,Europe,Southern Europe,Hellenic Republic,0.7530813351857082
300,GRD,2007,EJ Index,America,Caribbean,Grenada,0.6839625586251589
301,GRD,2012,EJ Index,America,Caribbean,Grenada,0.6822622978262773
302,GRD,2017,EJ Index,America,Caribbean,Grenada,0.6657982338929156
303,GRD,2022,EJ Index,America,Caribbean,Grenada,0.6595437424108099
304,GRL,2007,EJ Index,America,Northern America,Greenland,0.6722117666925322
305,GRL,2012,EJ Index,America,Northern America,Greenland,0.6809597079695989
306,GRL,2017,EJ Index,America,Northern America,Greenland,0.675894721295649
307,GRL,2022,EJ Index,America,Northern America,Greenland,0.6683852680764224
308,GTM,2007,EJ Index,America,Central America,Republic of Guatemala,0.5945499630049782
309,GTM,2012,EJ Index,America,Central America,Republic of Guatemala,0.5924925474545102
310,GTM,2017,EJ Index,America,Central America,Republic of Guatemala,0.5911214445917929
311,GTM,2022,EJ Index,America,Central America,Republic of Guatemala,0.6005158808527286
312,GUM,2007,EJ Index,Oceania,Micronesia,Guam,0.5324272178728718
313,GUM,2012,EJ Index,Oceania,Micronesia,Guam,0.5256685555362031
314,GUM,2017,EJ Index,Oceania,Micronesia,Guam,0.5271131505028712
315,GUM,2022,EJ Index,Oceania,Micronesia,Guam,0.5244338463209242
316,GUY,2007,EJ Index,America,South America,Co-operative Republic of Guyana,0.6650653974143803
317,GUY,2012,EJ Index,America,South America,Co-operative Republic of Guyana,0.663198744755925
318,GUY,2017,EJ Index,America,South America,Co-operative Republic of Guyana,0.6614302820678507
319,GUY,2022,EJ Index,America,South America,Co-operative Republic of Guyana,0.6743554249643036
